RowId,Location
1,66.179405
2,38.02319
3,30.367744
4,37.242165
5,60.51936
6,38.619045
7,72.86383
8,38.89595
9,35.573982
10,38.309635
11,24.315804
12,37.70762
13,57.326572
14,27.189562
15,80.54721
16,28.91226
17,35.31979
18,25.84737
19,15.73182
20,27.995926
21,49.797894
22,50.143906
23,65.34423
24,76.41719
25,33.550827
26,77.72145
27,48.30987
28,70.015594
29,48.49464
30,84.55281
31,66.86373
32,35.99069
33,26.873432
34,36.905495
35,60.781498
36,36.93962
37,73.31213
38,36.439583
39,33.170166
40,37.08971
41,20.79388
42,38.224148
43,55.564034
44,29.810148
45,78.883156
46,27.929235
47,35.47408
48,30.16174
49,13.699188
50,30.09262
51,49.368603
52,57.804337
53,64.48628
54,75.217545
55,33.777714
56,76.43763
57,49.366848
58,71.451385
59,49.35371
60,87.57971
61,66.050835
62,35.946926
63,30.84858
64,37.566772
65,60.078117
66,37.0842
67,71.96503
68,36.793083
69,36.943825
70,37.932053
71,24.180008
72,38.72741
73,57.81232
74,29.475523
75,74.78097
76,27.263515
77,38.279312
78,30.213903
79,18.601358
80,33.737743
81,49.04777
82,57.15703
83,63.728867
84,75.70211
85,36.411777
86,76.23593
87,49.397717
88,70.7162
89,49.516212
90,85.85626
91,66.083885
92,39.34416
93,32.30484
94,40.71863
95,59.788567
96,40.488194
97,72.05998
98,40.164993
99,37.55561
100,41.38559
101,26.106598
102,41.846977
103,54.821217
104,30.503485
105,76.85427
106,31.77154
107,36.300804
108,30.346025
109,18.124474
110,35.454044
111,47.568905
112,52.588577
113,65.26632
114,77.82766
115,33.81343
116,78.62671
117,47.615005
118,70.49222
119,48.125244
120,82.98978
121,65.70759
122,37.90041
123,28.414822
124,38.708115
125,59.66065
126,38.057713
127,72.36252
128,38.65105
129,34.76294
130,38.11636
131,21.993937
132,40.00508
133,56.51428
134,28.105925
135,78.15429
136,28.638868
137,36.700397
138,28.619698
139,14.791412
140,32.049892
141,49.267586
142,53.539665
143,62.938717
144,76.98469
145,33.9155
146,77.16562
147,48.701412
148,68.07048
149,48.807735
150,85.70835
151,67.131165
152,37.2953
153,27.50814
154,36.854843
155,59.764545
156,37.70247
157,75.10059
158,38.79454
159,35.3108
160,37.16209
161,19.477497
162,38.5632
163,54.02496
164,29.667984
165,78.91593
166,28.87956
167,39.87862
168,29.17526
169,15.135986
170,29.188484
171,47.798683
172,50.19165
173,65.86898
174,75.59035
175,31.2443
176,75.668144
177,48.392235
178,71.606
179,48.29858
180,84.23723
181,65.69303
182,34.731762
183,26.353237
184,35.48887
185,59.17733
186,36.453724
187,73.64875
188,36.310776
189,35.131603
190,37.196457
191,18.728865
192,36.618355
193,60.064556
194,26.169474
195,79.17323
196,24.499205
197,37.581
198,26.152746
199,12.963666
200,26.059414
201,51.46964
202,54.560207
203,64.475716
204,75.71188
205,31.427612
206,76.14436
207,49.365864
208,72.53247
209,49.740547
210,81.74362
211,67.01328
212,36.291595
213,29.370586
214,36.51419
215,61.966278
216,37.25141
217,73.16712
218,36.98694
219,34.73352
220,37.54149
221,23.921072
222,37.341633
223,55.752274
224,31.346268
225,79.61378
226,29.431297
227,38.31922
228,30.647701
229,16.242407
230,29.827991
231,51.03284
232,53.41137
233,64.4513
234,73.00853
235,34.59679
236,74.74382
237,50.419174
238,69.82786
239,50.58757
240,82.9937
241,64.52613
242,39.213406
243,31.64929
244,37.857
245,58.76646
246,40.58855
247,70.52066
248,40.39491
249,37.89943
250,39.69838
251,26.223911
252,38.633865
253,54.953663
254,31.066553
255,79.15922
256,32.38564
257,41.073357
258,30.406965
259,17.685255
260,29.740543
261,47.377
262,58.529915
263,61.607822
264,76.756355
265,32.58268
266,75.31583
267,47.160778
268,71.54042
269,46.835186
270,86.60542
271,65.89808
272,36.299038
273,30.006386
274,35.544247
275,58.84732
276,37.440613
277,73.44786
278,37.824604
279,37.777557
280,36.86208
281,22.973452
282,36.931927
283,57.843506
284,26.72357
285,79.24189
286,29.87554
287,39.117317
288,26.46239
289,17.065304
290,28.831417
291,49.500202
292,53.635025
293,63.594402
294,73.84999
295,32.219803
296,73.52562
297,48.891922
298,66.599205
299,49.013943
300,82.4271
301,67.37517
302,39.165276
303,30.485882
304,36.19096
305,62.062557
306,39.98185
307,73.28316
308,40.86892
309,36.70006
310,38.075798
311,24.973043
312,37.505844
313,57.307934
314,32.27464
315,81.933105
316,34.362434
317,41.40622
318,30.93287
319,17.01263
320,29.00026
321,50.43624
322,53.653282
323,63.160522
324,79.13467
325,34.086643
326,77.76036
327,48.239277
328,71.38184
329,48.288662
330,87.887146
331,65.52015
332,38.012997
333,30.401974
334,37.382248
335,59.845654
336,38.78741
337,71.87286
338,39.27171
339,36.73893
340,38.387405
341,24.237663
342,38.536358
343,55.06843
344,30.644053
345,78.22699
346,33.4441
347,41.685093
348,29.7518
349,17.809732
350,31.733547
351,49.24743
352,57.116455
353,63.19013
354,77.838036
355,33.449497
356,77.1454
357,49.032875
358,73.087166
359,48.946583
360,83.38306
361,66.496284
362,37.277477
363,30.6148
364,36.033005
365,60.985283
366,38.002956
367,72.39445
368,37.21449
369,35.28009
370,37.204586
371,24.616245
372,36.341003
373,59.08739
374,30.737913
375,77.68036
376,29.342627
377,38.958496
378,29.68687
379,19.018526
380,28.590363
381,47.57827
382,65.12582
383,61.071995
384,77.770134
385,32.43356
386,77.675476
387,46.714363
388,74.303375
389,46.179165
390,85.40461
391,66.02332
392,37.028385
393,26.644974
394,36.739384
395,60.443142
396,37.323288
397,72.46256
398,37.845604
